Abbr,HIP1,HIP2,ID1,ID2,Index1,Index2
Ori,26727,26311,814,800,11,10
Ori,26311,25930,800,780,10,8
Ori,28691,29426,875,899,16,18
Ori,29426,29038,899,888,18,17
Ori,29038,27913,888,852,17,13
Ori,29426,28614,899,873,18,15
Ori,28614,27989,873,856,15,14
Ori,27989,26727,856,814,14,11
Ori,26727,27366,814,831,11,12
Ori,27366,24436,831,726,12,6
Ori,24436,25930,726,780,6,8
Ori,25930,25336,780,759,8,7
Ori,25336,26207,759,790,7,9
Ori,26207,27989,790,856,9,14
Ori,25336,22449,759,657,7,0
Ori,22449,22549,657,663,0,2
Ori,22549,22730,663,668,2,3
Ori,22730,23123,668,681,3,5
Ori,22449,22509,657,660,0,1
Ori,22509,22845,660,672,1,4
Ori,29038,28614,888,873,17,15
